0x100be67: URLDownloadToFileW
0xa58dd1: InternetOpenW
0xff5597: InternetSetOptionW
0x8c9164: LoadLibraryA
0xf9a134: GetModuleHandleA
0xa156c4: CreateMutexW
0x8edd64: LoadLibraryW
0xf79c84: GetModuleHandleW
0xf14070: GetFileAttributesExW
0xea298c: GetDiskFreeSpaceExW
0xa8ca0b: IsWow64Process
0x114defd: WaitForSingleObject
0xa12643: ReleaseMutex
0x61e2eb: LocalAlloc
0x621b69: LocalFree
0x78a43f: CloseHandle
0xd3255b: GetCurrentProcess
0x8ed034: OpenProcess
0x7ed3bd: OpenThread
0xcf82f1: CreateProcessW
0x1439e00: CreateToolhelp32Snapshot
0xc1b655: Process32FirstW
0xadcc88: Process32NextW
0x14e9399: GetTimeZoneInformation
0xa7ecbd: GetSystemTime
0xddc4f4: GetShortPathNameW
0xff6d5c: WideCharToMultiByte
0x10155a3: MultiByteToWideChar
0x8938c0: CreateFileW
0x588795: ReadFile
0x8384ab: lstrcmpiA
0xc1e9bc: GetProcAddress
0x9290e8: VirtualAlloc
0xd541fa: VirtualProtect
0xfa3ec9: VerifyVersionInfoW
0xa4d90b: GetVersionExW
0x10e82bb: GetWindowsDirectoryW
0x1061a45: GetNativeSystemInfo
0xf29d0a: GetSystemDirectoryW
0x11f91d0: GetModuleFileNameW
0xe6041e: ReadProcessMemory
0x9a1398: GetTempPathW
0x135fafc: GetVolumeInformationW
0xb85653: Process32First
0xa574f9: Process32Next
0x1082b4c: CreateFileMappingW
0xef4a71: OpenFileMappingW
0x88d14d: MapViewOfFile
0xa699a6: UnmapViewOfFile
0x9c885f: CreateEventW
0x7fa529: OpenEventW
0x75dece: SetEvent
0x86cba2: DeleteFileW
0x72adfe: WriteFile
0x9ff97b: FindFirstFileW
0x5f9409: FindClose
0x10f8732: ProcessIdToSessionId
0x843679: ExitThread
0xe3d96f: GetCurrentProcessId
0xdac635: TerminateProcess
0xed8de8: GetExitCodeProcess
0xa1b40a: CreateThread
0xd190cf: SetThreadPriority
0xd5b33e: CreateDirectoryW
0x10d8236: SystemTimeToFileTime
0x160bf6c: LocalFileTimeToFileTime
0x84f670: SetFileTime
0xc9f7e9: GetCurrentThread
0x851423: FindNextFileW
0xafa194: GetDriveTypeW
0xc7a75f: SetPriorityClass
0xea6843: SetFileAttributesW
0x7e8d78: GetFileSize
0xe0f062: RemoveDirectoryW
0xdfa1dd: SetFilePointerEx
